Store,COGS,BegInvValue,EndInvValue,AvgInvValue,TurnoverRatio,DSI
7,381052.3,775694.77,811861.08,793777.925,0.4800490011107325,760.3390469628448
19,273828.91,300694.44,843990.5599999999,572342.5,0.4784353948902973,762.9034220674508
2,402401.61,840452.2,850884.0599999999,845668.1299999999,0.47583868390547013,767.0666810950383
76,1402698.59,2952418.44,2975945.18,2964181.81,0.4732161115312964,771.3177787182349
78,193179.93,264342.71,561110.97,412726.83999999997,0.4680575898577374,779.8185691443206
30,287924.57,529863.9299999999,720325.16,625094.5449999999,0.4606096346593459,792.428061714219
49,660456.92,1422259.64,1454589.3599999999,1438424.5,0.4591529969073803,794.9419963682112
59,384557.7,826440.14,855147.62,840793.88,0.45737452323035466,798.0330811215066
43,134537.44,313423.85,289753.36,301588.605,0.44609589941238004,818.2097178673831
47,219950.97,485449.08999999997,501703.01,493576.05,0.4456273151827363,819.0700784361169
22,248882.62,539636.88,589337.63,564487.255,0.4409003352963212,827.8514910964857
8,245265.61,554182.37,560721.48,557451.925,0.4399762544545881,829.5902251644657
66,1257824.93,2973033.9,2860504.9899999998,2916769.445,0.4312390655888813,846.3982721546154
23,551079.42,1222930.16,1382633.4,1302781.7799999998,0.4230020932592411,862.8798907061343
56,285901.81,703846.02,653229.3099999999,678537.665,0.4213499482007384,866.2633081091722
35,180839.57,416607.55,454403.37,435505.45999999996,0.41524064933652044,879.0083547533318
64,345161.36,862165.97,869717.79,865941.88,0.398596450838017,915.7131209588466
73,1266850.6199999999,3142497.36,3254662.81,3198580.085,0.3960665627667096,921.5622683477869
5,93172.39,218720.63999999998,255093.41,236907.025,0.39328673347698323,928.0760547733078
33,484759.32,1210469.14,1281093.69,1245781.415,0.3891206869545409,938.0123242911554
27,269209.38,680256.67,704864.78,692560.7250000001,0.3887159209035424,938.9890672642982
69,1131369.88,2946726.65,2968678.82,2957702.735,0.3825164262154966,954.2073881929755
32,393499.74,933833.52,1146708.21,1040270.865,0.37826661616635776,964.9278693932556
54,321747.48,857616.79,854039.94,855828.365,0.37594860506872774,970.877388767738
20,259849.45,699968.92,686229.57,693099.245,0.37490944027792156,973.5684429003023
67,1117046.85,3079578.63,3076114.82,3077846.7249999996,0.3629312794970322,1005.7000336422773
71,333370.3,962304.83,881448.72,921876.7749999999,0.3616213240647049,1009.3431324716088
77,232314.08,590584.54,711893.36,651238.95,0.3567263290993268,1023.193328402652
45,97909.56,270712.48,283962.08999999997,277337.285,0.3530342485324323,1033.894024495667
42,203653.95,612072.82,554744.12,583408.47,0.34907609414721047,1045.6172912433076
48,273768.73,811881.12,792393.9,802137.51,0.3412989999682224,1069.4435085774771
41,471092.15,776215.8099999999,1991001.75,1383608.78,0.34048074629882014,1072.013627694709
57,131875.87,376709.01,436553.32,406631.16500000004,0.3243132385093995,1125.4551361443152
39,194274.3,630648.73,588081.3,609365.015,0.31881433166950024,1144.8669766150233
63,118779.89,373549.52999999997,382660.23,378104.88,0.314145350358874,1161.8825476265386
55,662159.65,2001263.66,2234836.35,2118050.005,0.31262701467711573,1167.525462817011
70,141196.68,434179.68,501593.87,467886.775,0.3017753173297108,1209.5091249666777
61,324244.24,1134296.48,1089540.3599999999,1111918.42,0.29160794008610813,1251.6805951587605
52,100529.88,338927.04,359362.22,349144.63,0.28793190947831565,1267.6608183556966
36,89840.08,306209.08,327403.31,316806.195,0.2835805657146319,1287.1121794971689
24,129131.06,460603.91,452763.86,456683.885,0.28275808330745017,1290.8561118060984
4,230082.72,786488.6799999999,849061.44,817775.0599999999,0.2813520872108768,1297.3068855409915
50,908139.77,1649808.22,4887260.68,3268534.4499999997,0.27784310794093053,1313.6910348612967
28,89100.76,307105.16,335502.44,321303.8,0.2773100100278926,1316.2164610043733
21,301869.95,1028364.09,1172514.53,1100439.31,0.2743176722758114,1330.5741368095764
74,423388.27,758303.37,2803645.13,1780974.25,0.23772846238512432,1535.3651655252518
3,30556.67,132241.23,125674.17,128957.70000000001,0.23695110877442754,1540.4021609684567
79,355114.46,1503149.48,1573008.56,1538079.02,0.23088180475928996,1580.895473251075
29,46191.93,220660.3,236009.36,228334.83,0.20229909733876345,1804.259162801814
37,66599.43,331839.81,360388.6,346114.20499999996,0.19242038910249293,1896.8883791497915
44,119822.27,611206.15,1405905.73,1008555.94,0.11880577491814684,3072.2412294475807
26,33599.0,289467.55,336543.58,313005.565,0.10734313941031687,3400.3104623649515
81,0.0,0.0,1573266.38,786633.19,0.0,
